id,title,source,source_names,date,url,one_liner,sponsor_names,company_names,has_sponsor_signal,company_affiliation_signal
befe4933db039fdda4af350603be4590311e663df43be9509b68e618b592e1ef,PI3K inhibitor-free differentiation and maturation of human iPSC-derived arterial- and venous-like endothelial cells,bioRxiv (all),bioRxiv (all),2026-01-12T00:00:00,https://www.biorxiv.org/content/10.64898/2026.01.10.698801v1?rss=1,No LLM provider configured.,,,False,False
bd8eb813dbd9f3543586d57c13380ed9fad5ae30e9933109386f6b5dd60ecf90,Interface-Resolved Proteomics of Cell-Cell Membranes Reveals Early Spatial Polarity in a Vertebrate Embryo,bioRxiv (all),bioRxiv (all),2026-01-12T00:00:00,https://www.biorxiv.org/content/10.64898/2026.01.10.698819v1?rss=1,No LLM provider configured.,,,False,False
db89c03711c1c41253d213c58e4dc24a5d339da25fe0d03895a422fb5ec618af,Regular parental exercise before mating influences offspring lower adiposity associated to hypothalamic neurodevelopmental changes,bioRxiv (all),bioRxiv (all),2026-01-12T00:00:00,https://www.biorxiv.org/content/10.64898/2026.01.10.698777v1?rss=1,No LLM provider configured.,,,False,False
6dba0689d4345114bd854ee1e67a83337669e0a9121b1c1f9c54b1a78e6803be,Glial vesicular transmitter release is not critical for courtship conditioning memory in Drosophila melanogaster,bioRxiv (all),bioRxiv (all),2026-01-12T00:00:00,https://www.biorxiv.org/content/10.64898/2026.01.10.698790v1?rss=1,No LLM provider configured.,,,False,False
0ba1f2da4c8fce107c22a3ee237f8f58dcebaaa35739602b3b4f7eb97c732859,Semaglutide Attenuates Neuroinflammation in Mice,bioRxiv (all),bioRxiv (all),2026-01-12T00:00:00,https://www.biorxiv.org/content/10.64898/2026.01.10.698763v1?rss=1,No LLM provider configured.,,,False,False
47dcb808fff49bd62ac58d61c3d34275cfe6b001e65702c9591d55474b4c556a,Complex regulation of RETINOBLASTOMA-RELATED's interactions with E2Fs via phosphorylation,bioRxiv (all),bioRxiv (all),2026-01-12T00:00:00,https://www.biorxiv.org/content/10.64898/2026.01.10.698770v1?rss=1,No LLM provider configured.,,,False,False
31adecfdfab1f765e599bd55859b65b924aee56dce2b1bee8b20722a1640a95a,Abdominal-B regulates the male seminal fluid transferome and new female fecundity factors required for sperm sex peptide binding,bioRxiv (all),bioRxiv (all),2026-01-12T00:00:00,https://www.biorxiv.org/content/10.64898/2026.01.10.698609v1?rss=1,No LLM provider configured.,,,False,False
617b4fe1447c30a189f2116882f9f0ac5fcb85c4cfacc6b3caea51dcfb67138d,Disentangling mucus rheology and transport efficiency in human airways,bioRxiv (all),bioRxiv (all),2026-01-12T00:00:00,https://www.biorxiv.org/content/10.64898/2026.01.10.698668v1?rss=1,No LLM provider configured.,,,False,False
732374f5171274681e0b7c2077206a4a822ec069086c1a1ef1aeffc1cb463b68,Identifying Fundamental Gaps in Functional Metagenomics: A StepTowards Unlocking Microbiome Research Potential,bioRxiv (all),bioRxiv (all),2026-01-12T00:00:00,https://www.biorxiv.org/content/10.64898/2026.01.10.698778v1?rss=1,No LLM provider configured.,,,False,False
c5086f3d08dae536e1c4425f2c8f77a8d423403ed8d4bf8e093a96a3d8a07183,Behavioral Signatures of Post-Decisional Attention in Preferential Choice,bioRxiv (all),bioRxiv (all),2026-01-12T00:00:00,https://www.biorxiv.org/content/10.64898/2026.01.10.698805v1?rss=1,No LLM provider configured.,,,False,False
d8f316d127db929548d39c9ae6b5d1ccab9df76661750e1171d346fb18f95c35,Lab-in-syringe automated supramolecular solvent-based electrolyte-assisted microextraction coupled on-line to liquid chromatography for capsaicinoids determination in chili spices,Gut,Gut,2026-01-11T00:00:00,https://pubmed.ncbi.nlm.nih.gov/41406798/,No LLM provider configured.,,,False,False
c35cd748672977dfcdaf57359223892e890f7cd6c25a76c8afedb1f61ae4a9ac,Quantitative profiling of aromatic amino acids and their host-microbial co-metabolites in human urine via UPLC-MS/MS,Gut,Gut,2026-01-11T00:00:00,https://pubmed.ncbi.nlm.nih.gov/41389518/,No LLM provider configured.,,,False,False
f0151216b5dec50391d6b9ac27797fb64259f0c9c77acc4646fcfb57c1efed10,Irritable bowel syndrome-specific volatile organic compounds in faecal headspace do not associate with classical symptom-based subtypes,Gut,Gut,2026-01-12T00:00:00,https://pubmed.ncbi.nlm.nih.gov/41330045/,No LLM provider configured.,,,False,False
d8722e8e4e6ca3cea18556e8f60447d54c85925bdd57aa17736f7595824bd46a,Butyrate-Modified Hyaluronic Acid Ameliorates MPTP-Induced Parkinson's Disease via Modulating PINK1/Parkin-Involved Mitophagy and Intestinal Flora,Gut,Gut,2026-01-12T00:00:00,https://pubmed.ncbi.nlm.nih.gov/41324423/,No LLM provider configured.,,,False,False
4768f691fdcf31fac158f0723e3e6fead032e7231241218783e813065c6050c0,Diet-induced transgenerational effects on Drosophila dormancy are not mediated by the microbiome,Gut,Gut,,https://pubmed.ncbi.nlm.nih.gov/41324297/,No LLM provider configured.,,,False,False
c6fe404c9c6fd2a328901a86511570cf8e3310199075b1e20aea6040c4c02b62,"The impact of multidimensional interactions among Helicobacter pylori infection, tumor microenvironment, and gut microbiota on gastric cancer immune response",Gut,Gut,2026-01-12T00:00:00,https://pubmed.ncbi.nlm.nih.gov/41308859/,No LLM provider configured.,,,False,False
3dbd02dd09fb73bd6183e46fdacc048ff37cb2f2699c6347f9fe33282638da8a,Microbial Metabolic Pathways Guide Response to Immune Checkpoint Blockade Therapy,Gut,Gut,2026-01-12T00:00:00,https://pubmed.ncbi.nlm.nih.gov/40996449/,No LLM provider configured.,,,False,False
